img_file,Image size (pixels),Aspect ratio,RMS contrast,Luminance entropy,Complexity,Edge density,Color entropy,mean R channel,mean G channel,mean B channel (RGB),mean L channel,mean a channel,mean b channel (Lab),mean H channel,mean S channel,mean V channel,std R channel,std G channel,std B channel,std L channel,std a channel,std b channel (Lab),std H channel,std S channel,std V channel,Mirror symmetry,DCM distance,DCM x position,DCM y position,Balance,CNN symmetry left-right,CNN symmetry up-down,CNN symmetry left-right & up-down,Slope Redies,Slope Spehar,Slope Mather,Fourier sigma,2D Fractal dimension,3D Fractal dimension,Self-similarity (PHOG),Self-similarity (CNN),Anisotropy,Homogeneity,1st-order EOE,2nd-order EOE,Sparseness,Variability
SS_0.3_rep14.jpg,1024,1,15.649,7.3,34.718,96.678,0,127.489,127.489,127.489,52.932,-0.001458,0.002764,0,0,0.5,39.483,39.483,39.483,15.649,0.0003338,0.0006328,0,0,0.1548,24.942,0.3906,-0.001953,0,0.2125,0.8005,0.7999,0.7986,-0.6445,-0.2758,-0.2992,0.004972,2.094,2.881,0.9805,0.936,4.77E-05,99.993,4.58,4.578,8.745E-05,1.221E-06
SS_0.1_rep1.jpg,1024,1,15.634,7.3,35.328,76.55,0,127.503,127.503,127.503,52.939,-0.001458,0.002764,0,0,0.5,39.463,39.463,39.463,15.634,0.0003334,0.0006319,0,0,0.1548,25.124,0,0,0,0.1291,0.7999,0.8015,0.7987,-0.2343,-0.0765,-0.09283,0.005356,2.062,2.89,0.9803,0.9383,4.881E-05,99.994,4.581,4.578,9.079E-05,1.103E-06
33657.jpg,963,0.7509,11.244,5.689,4.23,50.219,4.548,31.27,24.744,17.078,9.804,1.846,5.875,0.1085,0.275,0.1274,34.839,23.989,13.81,11.244,9.253,10.295,0.1219,0.2642,0.1393,69.824,12.718,0.03269,0.05455,11.799,0.3612,0.3545,0.3348,-3.104,-1.74,-1.363,0.1129,1.296,2.442,0.6804,0.7748,0.0004506,90.141,4.352,4.373,0.0001872,1.489E-05
SS_1.65_rep10.jpg,1024,1,15.193,7.277,3.071,48.818,0,127.512,127.512,127.512,52.966,-0.001459,0.002765,0,0,0.5,38.241,38.241,38.241,15.193,0.0003251,0.0006163,0,0,0.15,29.377,7.297,-0.009766,-0.03516,5.632,0.7045,0.6736,0.6617,-3.635,-1.797,-1.66,0.01642,1.204,2.356,0.8733,0.883,0.0002656,94.762,4.572,4.529,0.0002035,2.243E-06
40960.jpg,1075,0.6797,24.737,7.257,5.868,93.818,0,78.371,78.371,78.371,32.212,-0.0009688,0.001836,0,0,0.3073,59.704,59.704,59.704,24.737,0.0005946,0.001127,0,0,0.2341,43.375,18.978,-0.04023,0.08594,11.557,0.5081,0.3677,0.3655,-3.115,-1.593,-1.488,0.03615,1.159,2.47,0.5966,0.7888,0.0009949,95.78,3.502,3.707,0.000282,2.069E-05
Metsu3.jpg,1821,0.7801,15.034,6.812,11.354,54.148,5.97,61.07,47.213,48.065,20.636,6.637,1.711,0.898,0.2774,0.2489,43.128,33.924,26.96,15.034,7.239,8.581,0.1597,0.1442,0.1648,70.541,8.574,-0.03258,0.02786,9.779,0.4468,0.3797,0.413,-2.505,-0.9345,-1.112,0.0114,1.661,2.641,0.8697,0.7803,0.0001711,89.465,4.532,4.496,0.0001067,2.233E-05
Rembrandt39.jpg,1788,0.7461,11.323,5.87,4.918,30.95,4.94,42.391,39.333,42.826,15.939,2.429,-2.026,0.6732,0.2348,0.1902,34.232,24.951,18.068,11.323,3.998,6.855,0.1445,0.0987,0.1254,88.293,4.492,0.006545,0.02148,10.586,0.4218,0.3857,0.295,-2.216,-1.102,-1.079,0.006207,1.504,2.466,0.6735,0.7091,0.0001895,64.494,4.548,4.449,0.0001563,1.388E-05
SS_0.4_rep12.jpg,1024,1,15.631,7.298,34.127,106.636,0,127.501,127.501,127.501,52.938,-0.001458,0.002764,0,0,0.5,39.445,39.445,39.445,15.631,0.0003334,0.0006321,0,0,0.1547,25.053,0.5524,-0.001953,-0.001953,0.1973,0.799,0.7995,0.7989,-0.8688,-0.3709,-0.4018,0.004261,2.104,2.869,0.9789,0.9352,4.881E-05,99.986,4.58,4.577,8.723E-05,1.345E-06
Renoir27.jpg,1722,0.6816,18.745,7.539,7.579,96.257,6.649,92.409,105.036,87.907,42.474,-7.7,8.285,0.2931,0.2752,0.4296,52.702,45.602,39.796,18.745,10.851,7.088,0.1644,0.1929,0.1871,24.939,10.027,-0.005731,-0.0498,17.83,0.5307,0.4659,0.4436,-2.776,-1.345,-1.383,0.00742,1.445,2.466,0.7005,0.8007,0.0004377,96.759,4.418,4.474,0.0001329,1.822E-05
34688.jpg,1071,1.274,23.844,6.866,6.372,88.784,5.979,68.74,57.676,87.279,25.676,13.596,-16.8568,0.749,0.5118,0.3595,61.238,59.731,41.839,23.844,7.312,12.852,0.1279,0.284,0.1969,71.176,26.019,0.1233,0.0414,21.018,0.3964,0.4418,0.3709,-3.055,-1.677,-1.4,0.01319,1.327,2.36,0.6965,0.8176,0.0005615,87.973,3.818,4.264,0.0002369,1.626E-05
