img_file,Image size (pixels),Aspect ratio,RMS contrast,Luminance entropy,Complexity,Edge density,Color entropy,mean R channel,mean G channel,mean B channel (RGB),mean L channel,mean a channel,mean b channel (Lab),mean H channel,mean S channel,mean V channel,std R channel,std G channel,std B channel,std L channel,std a channel,std b channel (Lab),std H channel,std S channel,std V channel,Mirror symmetry,DCM distance,DCM x position,DCM y position,Balance,CNN symmetry left-right,CNN symmetry up-down,CNN symmetry left-right & up-down,Slope Redies,Slope Spehar,Slope Mather,Fourier sigma,2D Fractal dimension,3D Fractal dimension,Self-similarity (PHOG),Self-similarity (CNN),Anisotropy,Homogeneity,1st-order EOE,2nd-order EOE,Sparseness,Variability
Constable51.jpg,1364,0.9971,14.23,7.221,7.948,59.548,5.06,93.772,83.012,64.011,35.449,1.5,12.855,0.1261,0.3347,0.371,35.885,33.951,34.386,14.23,3.643,8.387,0.08888,0.1683,0.1423,44.06,10.231,-0.008076,0.05051,7.345,0.5869,0.5129,0.5301,-2.309,-1.108,-1.124,0.00304,1.518,2.601,0.8223,0.843,0.0002061,92.199,4.465,4.534,9.543E-05,1.148E-05
Romanelli1.jpg,1196,1.331,20.238,7.259,6.014,75.183,6.591,76.024,80.249,86.809,33.698,2.749,-3.46,0.528,0.4766,0.417,53.489,47.599,66.601,20.238,9.614,23.435,0.2945,0.2589,0.2393,36.877,16.296,0.07101,0.03996,17.715,0.3985,0.415,0.3682,-3.05,-1.569,-1.498,0.001273,1.317,2.412,0.712,0.7935,0.000358,93.326,4.541,4.514,0.0002267,2.582E-05
Preti2.jpg,1233,0.8053,19.017,7.144,7.762,84.459,4.651,82.063,69.514,52.922,29.497,2.747,11.661,0.08488,0.3641,0.3223,51.296,45.276,37.094,19.017,2.744,8.709,0.07268,0.1957,0.201,60.794,10.127,-0.04182,-0.02855,13.565,0.3938,0.345,0.3251,-2.805,-1.39,-1.358,0.003067,1.385,2.487,0.6708,0.7912,0.0003468,92.014,4.335,4.386,0.0001638,1.946E-05
Nonell3.jpg,1219,1.274,15.414,7.332,6.013,57.462,6.537,80.474,89.736,72.17,36.672,-5.875,9.26,0.2558,0.4226,0.3747,44.993,36.275,35.858,15.414,6.02,11.523,0.1778,0.2265,0.1461,14.839,8.354,-0.04173,0.001866,12.71,0.4746,0.3763,0.3989,-2.539,-1.297,-1.235,0.003337,1.451,2.515,0.7049,0.8164,0.0003015,97.492,4.534,4.526,0.0001153,1.338E-05
SS_2.2_rep14.jpg,682,1,15.493,7.038,1.01,14.883,0,127.487,127.487,127.487,52.918,-0.001459,0.002765,0,0,0.4999,38.263,38.263,38.263,15.493,0.000328,0.0006217,0,0,0.1501,14.906,4.854,0.02199,-0.01026,6.215,0.6036,0.71,0.5843,-3.085,-1.499,-1.544,0.02991,0.8005,2.128,0.4803,0.7198,0.001043,85.205,3.904,3.19,0.0006986,4.033E-06
SS_2_rep7.jpg,682,1,14.824,7.104,1.793,25.206,0,127.495,127.495,127.495,52.998,-0.00146,0.002768,0,0,0.5,38.265,38.265,38.265,14.824,0.0003137,0.0005947,0,0,0.1501,55.457,5.762,0.02786,0.007331,6.91,0.5897,0.6556,0.5737,-3.778,-1.75,-1.631,0.009235,1.033,2.269,0.7475,0.8007,0.0005842,82.344,4.473,4.23,0.0003927,3.117E-06
768059.jpg,958,0.9958,25.285,7.709,11.307,74.662,6.951,129.444,123.173,116.364,51.066,1.628,4.876,0.07742,0.2526,0.5356,68.408,64.193,66.766,25.285,6.41,9.711,0.2642,0.1775,0.248,37.13,22.219,-0.06276,-0.09167,11.99,0.5052,0.5006,0.4608,-2.569,-1.112,-1.171,0.01277,1.436,2.65,0.7432,0.7925,0.0004002,91.475,4.494,4.486,0.0001447,1.655E-05
SS_1.95_rep17.jpg,682,1,15.416,7.163,1.596,22.03,0,127.506,127.506,127.506,52.935,-0.001459,0.002765,0,0,0.5,38.262,38.262,38.262,15.416,0.0003267,0.0006193,0,0,0.15,20.901,9.208,0.02786,-0.03666,9.829,0.6086,0.6181,0.5409,-3.652,-1.707,-1.546,0.009802,0.9988,2.212,0.691,0.8039,0.0006391,84.057,4.541,4.213,0.0004246,3.217E-06
deKeyser1.jpg,1124,0.6457,14.862,6.754,6.325,55.941,5.126,61.813,52.861,46.338,22.387,3.02,5.293,0.9974,0.2149,0.2478,43.19,33.407,29.628,14.862,6.054,10.455,0.2193,0.2025,0.1677,84.199,11.45,-0.04875,-0.03001,15.8,0.4028,0.2679,0.2197,-2.614,-1.258,-1.286,0.005153,1.402,2.622,0.4983,0.7679,0.0003699,78.107,4.463,4.472,0.0001624,2.057E-05
39171.jpg,757,1.294,32.168,6.896,18.443,213.233,0.6731,175.349,175.001,175.175,69.85,0.1435,-0.03911,0.9858,0.001368,0.6876,81.706,81.37,81.538,32.168,0.3162,0.09208,0.03177,0.002977,0.3204,9.385,9.923,0.01054,-0.04848,11.818,0.6179,0.4675,0.4674,-2.945,-1.589,-1.206,0.1734,1.508,2.672,0.59,0.8396,0.0008082,95.492,3.807,4.238,0.0003327,1.123E-05
