img_file,Image size (pixels),Aspect ratio,RMS contrast,Luminance entropy,Edge density,Complexity,Color entropy,mean R channel,mean G channel,mean (RG)B channel,mean L channel,mean A channel,mean (LA)B channel,mean H channel,mean S channel,mean V channel,std R channel,std G channel,std (RG)B channel,std L channel,std A channel,std (LA)B channel,std H channel,std S channel,std V channel,Mirror symmetry,DCM,Balance,left-right,up-down,left-right & up-down,2-dimensional,3-dimensional,Slope,Sigma,PHOG-based,CNN-based,Anisotropy,Homogeneity,1st-order,2nd-order,Sparseness,Variability,
random_5079.jpg,1006,1.127,25.317,15.432,196.213,34.356,10.161,186.535,183.721,192.982,74.273,3.093,-4.336,0.7359,0.1217,0.7729,65.86,66.718,65.075,25.317,7.281,9.419,0.2459,0.1399,0.2468,9.874,7.421,11.12,0.6,0.637,0.5632,2.922,1.86,-1.589,0.0007626,0.7665,0.8716,0.0001813,97.0,4.36,4.513,9.974e-05,6.41e-06,
random_5088.jpg,1337,0.9866,37.288,9.65,58.035,7.689,4.167,129.463,123.643,129.385,50.435,3.075,-2.139,0.853,0.206,0.509,93.132,92.955,93.168,37.288,2.154,1.484,0.0681,0.3325,0.365,27.104,6.502,13.894,0.4831,0.3233,0.308,2.466,1.244,-1.829,0.01943,0.5156,0.7362,0.0008014,88.224,3.55,3.903,0.0002147,3.068e-05,
random_5104.jpg,925,1.454,11.76,14.926,122.494,14.238,8.8,57.291,162.641,55.473,59.056,-50.5144,44.923,0.3322,0.7035,0.6378,29.678,32.925,29.651,11.76,4.758,7.082,0.01808,0.1176,0.1291,37.257,3.497,11.771,0.7481,0.7364,0.733,2.654,1.711,-3.088,0.03454,0.8941,0.8765,0.0001492,98.808,4.564,4.566,0.0001845,2.732e-06,
random_5155.jpg,1087,0.9003,27.541,10.86,65.534,12.435,6.951,51.243,51.393,119.6,24.342,19.702,-37.442,0.6692,0.7648,0.469,63.155,66.529,83.29,27.541,7.55,11.41,0.01876,0.2619,0.3266,52.065,50.353,27.135,0.5191,0.4071,0.3813,2.655,1.638,-1.619,0.007746,0.4961,0.8227,0.0008254,84.884,4.15,4.375,0.0003735,2.317e-05,
random_5233.jpg,951,1.348,14.494,11.877,50.185,8.812,7.24,123.177,121.067,133.024,50.987,3.36,-6.012,0.7115,0.1175,0.5287,33.289,35.336,41.223,14.494,2.297,4.998,0.1453,0.05082,0.1496,7.88,8.834,13.168,0.6301,0.4788,0.483,2.761,1.564,-1.779,0.006037,0.8181,0.8599,0.0004092,78.714,4.311,4.398,0.0001331,1.171e-05,
random_5346.jpg,1314,1.556,12.177,12.008,45.987,7.293,7.745,125.648,125.356,113.056,52.004,-2.213,6.907,0.1429,0.1284,0.5009,31.789,31.252,36.569,12.177,3.335,4.579,0.09711,0.07475,0.1208,68.74,6.911,17.253,0.5013,0.4891,0.4666,2.714,1.724,-1.74,0.006898,0.8268,0.8362,0.0003308,73.799,4.527,4.52,0.0002078,1.359e-05,
random_5416.jpg,1123,1.415,28.281,7.514,22.348,2.915,5.573,1.711,54.528,55.42,20.021,-10.9057,-3.974,0.2929,0.5635,0.2245,5.203,75.438,79.716,28.281,14.687,7.324,0.2874,0.4673,0.3099,55.534,64.304,43.928,0.5663,0.1574,0.1536,2.394,1.262,-2.529,0.02621,0.3194,0.6814,0.0005532,77.979,4.224,4.107,0.0004815,1.116e-05,
random_5449.jpg,1063,0.8487,8.198,14.351,33.874,9.808,9.277,201.917,24.123,32.609,43.686,63.895,43.676,0.9919,0.8928,0.7918,29.158,26.096,37.107,8.198,6.771,13.158,0.01617,0.1071,0.1143,80.376,9.922,4.638,0.7774,0.706,0.6997,2.92,1.897,-1.484,0.01396,0.9349,0.7859,0.0001835,71.84,4.257,4.442,0.0003439,4.211e-06,
random_5524.jpg,1400,1.333,13.368,14.727,82.672,8.122,11.096,157.282,33.527,39.47,34.831,49.254,28.411,0.9884,0.8379,0.6168,49.282,27.543,19.883,13.368,10.359,12.309,0.02774,0.08065,0.1933,44.492,4.454,10.871,0.5704,0.5567,0.5427,2.369,1.375,-3.798,0.01528,0.7263,0.8385,0.0003849,97.377,4.463,4.517,0.0003164,8.866e-06,
random_5538.jpg,1162,1.635,32.631,12.886,99.078,14.585,9.023,76.955,95.197,141.069,39.58,11.001,-28.3285,0.5994,0.5922,0.578,81.121,88.175,65.647,32.631,16.982,24.776,0.1178,0.2743,0.2904,57.406,28.276,33.609,0.393,0.3509,0.3842,2.713,1.446,-2.11,0.001328,0.5199,0.84,0.0004015,81.272,4.455,4.525,0.0003253,2.064e-05,
